Pokedex_number,Name,Abilities,Against_normal,Against_fire,Against_water,Against_electric,Against_grass,Against_ice,Against_fighting,Against_poison,Against_ground,Against_flying,Against_psychic,Against_bug,Against_rock,Against_ghost,Against_dragon,Against_dark,Against_steel,Against_fairy,Against_All Concat,Type_1,Type_2,Base_total,HP,Attack,Defense,Sp_attack,Sp_defense,Speed,Height_m,Weight_kg,Capture_rate,Generation
1,Bulbasaur,"Overgrow, Chlorophyll",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,318,45,49,49,65,65,45,0.7,6.9,45,1
2,Ivysaur,"Overgrow, Chlorophyll",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,405,60,62,63,80,80,60,1,13,45,1
3,Venusaur,"Overgrow, Chlorophyll",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,525,80,82,83,100,100,80,2,100,45,1
3,Mega Venusaur,Thick Fat,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,625,80,100,123,122,120,80,2.4,155.5,45,6
4,Charmander,"Blaze, Solar Power",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5",fire,,309,39,52,43,60,50,65,0.6,8.5,45,1
5,Charmeleon,"Blaze, Solar Power",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5",fire,,405,58,64,58,80,65,80,1.1,19,45,1
6,Charizard,"Blaze, Solar Power",1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,"1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5",fire,flying,634,78,104,78,159,115,100,1.7,90.5,45,1
6,Mega Charizard X,Tough Claws,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1,"1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1",fire,dragon,634,78,130,111,130,85,100,1.7,110.5,45,6
6,Mega Charizard Y,Drought,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,"1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5",fire,flying,634,78,104,78,159,115,100,1.7,100.5,45,6
7,Squirtle,"Torrent, Rain Dish",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,314,44,48,65,50,64,43,0.5,9,45,1
8,Wartortle,"Torrent, Rain Dish",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,405,59,63,80,65,80,58,1,22.5,45,1
9,Blastoise,"Torrent, Rain Dish",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,630,79,103,120,135,115,78,1.6,85.5,45,1
9,Mega Blastoise,Mega Launcher,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,630,79,103,120,135,115,78,1.6,101.1,45,6
10,Caterpie,"Shield Dust, Run Away",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,"1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1",bug,,195,45,30,35,20,20,45,0.3,2.9,255,1
11,Metapod,Shed Skin,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,"1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1",bug,,205,50,20,55,25,25,30,0.7,9.9,120,1
12,Butterfree,"Compoundeyes, Tinted Lens",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,"1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1",bug,flying,395,60,45,50,90,80,70,1.1,32,45,1
13,Weedle,"Shield Dust, Run Away",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5",bug,poison,195,40,35,30,20,20,50,0.3,3.2,255,1
